,dt,open,close,high,low,vol,cje,zxj,Code,JW_5,JW_30,DI_5min,DING_5min,DI_30min,DING_30min,volume,icon_1,icon_2,icon_11,icon_12,icon_13,icon_34,icon_35,icon_38,icon_39,icon_41,buy_signal,sell_signal
2482,2023-01-11 00:54:00,123.25,123.26,123.36,123.25,377872,377872,377872,分时图,71.93408954818784,87.06511676263719,0,0,0,0,377872,0,0,0,0,0,0,0,0,0,0,0,0
2483,2023-01-11 00:55:00,123.26,123.28,123.32,123.26,274544,274544,274544,分时图,71.93408954818784,87.06511676263719,0,0,0,0,274544,0,0,0,0,0,0,0,0,0,0,0,0
2484,2023-01-11 00:56:00,123.22,123.26,123.26,123.16,367304,367304,367304,分时图,71.93408954818784,87.06511676263719,0,0,0,0,367304,0,0,0,0,0,0,0,0,0,0,0,0
2485,2023-01-11 00:57:00,123.25,123.16,123.25,123.06,238440,238440,238440,分时图,70.47726498830752,87.06511676263719,0,0,0,0,238440,0,0,0,0,0,0,0,0,0,0,0,0
2486,2023-01-11 00:58:00,123.17,123.13,123.18,123.12,194848,194848,194848,分时图,70.47726498830752,87.06511676263719,0,0,0,0,194848,0,0,0,0,0,0,0,0,0,0,0,0
2487,2023-01-11 00:59:00,123.19,122.93,123.19,122.93,301536,301536,301536,分时图,70.47726498830752,87.06511676263719,0,0,0,0,301536,0,0,0,0,0,0,0,0,0,0,0,0
2488,2023-01-11 01:00:00,122.87,122.72,122.87,122.7,401264,401264,401264,分时图,70.47726498830752,87.06511676263719,0,0,0,0,401264,0,0,0,0,0,0,0,0,0,0,0,0
2489,2023-01-11 01:01:00,122.74,122.66,122.8,122.64,403256,403256,403256,分时图,70.47726498830752,87.06511676263719,0,0,0,0,403256,0,0,0,0,0,0,0,0,0,0,0,0
2490,2023-01-11 01:02:00,122.7,122.7,122.75,122.63,246920,246920,246920,分时图,69.28998398056325,87.45218755081308,0,0,0,0,246920,0,0,0,0,0,0,0,0,0,0,0,0
2491,2023-01-11 01:03:00,122.71,122.69,122.79,122.67,449712,449712,449712,分时图,69.28998398056325,87.45218755081308,0,0,0,0,449712,0,0,0,0,0,0,0,0,0,0,0,0
2492,2023-01-11 01:04:00,122.7,122.72,122.73,122.66,222936,222936,222936,分时图,69.28998398056325,87.45218755081308,0,0,0,0,222936,0,0,0,0,0,0,0,0,0,0,0,0
2493,2023-01-11 01:05:00,122.68,122.67,122.75,122.67,168608,168608,168608,分时图,69.28998398056325,87.45218755081308,0,0,0,0,168608,0,0,0,0,0,0,0,0,0,0,0,0
2494,2023-01-11 01:06:00,122.63,122.71,122.72,122.58,322048,322048,322048,分时图,69.28998398056325,87.45218755081308,0,0,0,0,322048,0,0,0,0,0,0,0,0,0,0,0,0
2495,2023-01-11 01:07:00,122.72,122.55,122.72,122.55,213232,213232,213232,分时图,68.91351148011984,87.45218755081308,0,0,0,0,213232,0,0,0,0,0,0,0,0,0,0,0,0
2496,2023-01-11 01:08:00,122.6,122.57,122.6,122.57,510168,510168,510168,分时图,68.91351148011984,87.45218755081308,0,0,0,0,510168,0,0,0,0,0,0,0,0,0,0,0,0
2497,2023-01-11 01:09:00,122.69,122.62,122.69,122.57,215920,215920,215920,分时图,68.91351148011984,87.45218755081308,0,0,0,0,215920,0,0,0,0,0,0,0,0,0,0,0,0
2498,2023-01-11 01:10:00,122.57,122.64,122.73,122.54,284128,284128,284128,分时图,68.91351148011984,87.45218755081308,0,0,0,0,284128,0,0,0,0,0,0,0,0,0,0,0,0
2499,2023-01-11 01:11:00,122.68,123.03,123.08,122.68,523816,523816,523816,分时图,68.91351148011984,87.45218755081308,0,0,0,0,523816,0,0,0,0,0,0,0,0,0,0,0,0
2500,2023-01-11 01:12:00,123.11,123.17,123.17,123.02,381056,381056,381056,分时图,68.22935325014993,87.45218755081308,0,0,0,0,381056,0,0,0,0,0,0,0,0,0,0,0,0
